Date,EmpID,Gender,Age,EthnicGroup,FP,isNewHire,BU Region,HireDate,PayType,TermReason,AgeGroup,TenureDays,TenureMonths,BadHires
01 January 2015,92240,M,27,Group D,PT,No,East,07 May 2008,Hourly,Unknown,20-29,969,32.3,0
01 January 2015,92246,F,35,Group B,FT,No,East,05 October 2010,Salary,Unknown,30-49,88,2.93,0
01 January 2015,92250,M,52,Group C,FT,No,East,08 September 1981,Salary,Unknown,50-65,10707,356.9,0
01 January 2015,92260,M,48,Group B,FT,No,East,27 June 2008,Hourly,Unknown,30-49,918,30.6,0
01 January 2015,92270,F,36,Group F,FT,No,East,28 March 2006,Salary,Unknown,30-49,1740,58,0
01 January 2015,92282,F,27,Group E,FT,No,East,01 December 2009,Salary,Unknown,20-29,396,13.2,0
01 January 2015,92302,M,34,Group E,FT,No,East,01 March 2008,Salary,Unknown,30-49,1036,34.53,0
01 January 2015,92310,M,36,Group B,FT,No,East,25 June 2008,Salary,Unknown,30-49,920,30.67,0
01 January 2015,92324,F,25,Group F,FT,No,East,02 June 2005,Salary,Unknown,20-29,2039,67.97,0
01 January 2015,92328,F,34,Group A,FT,No,East,04 February 2009,Salary,Unknown,30-49,696,23.2,0
01 January 2015,92332,F,43,Group G,FT,No,East,21 February 2006,Salary,Unknown,30-49,1775,59.17,0
01 January 2015,92334,M,44,Group F,FT,No,East,07 January 2009,Salary,Unknown,30-49,724,24.13,0
01 January 2015,92336,F,37,Group E,FT,No,East,25 February 2009,Salary,Unknown,30-49,675,22.5,0
01 January 2015,92338,F,48,Group F,FT,No,East,11 August 2009,Salary,Unknown,30-49,508,16.93,0
01 January 2015,92340,F,27,Group B,FT,No,East,29 September 2009,Salary,Unknown,20-29,459,15.3,0
01 January 2015,92358,F,55,Group C,FT,No,East,14 May 2002,Hourly,Unknown,50-65,3154,105.13,0
01 January 2015,92366,F,59,Group F,FT,No,East,04 April 2006,Hourly,Unknown,50-65,1733,57.77,0
01 January 2015,92420,M,24,Group D,FT,No,East,23 June 2004,Hourly,Unknown,20-29,2383,79.43,0
01 January 2015,92438,F,50,Group B,FT,No,East,18 December 2007,Hourly,Unknown,50-65,1110,37,0
01 January 2015,95692,M,47,Group F,FT,No,East,02 September 2009,Salary,Unknown,30-49,486,16.2,0
01 January 2015,95694,M,31,Group A,FT,No,East,21 July 2005,Salary,Unknown,30-49,1990,66.33,0
01 January 2015,95696,F,53,Group E,FT,No,East,03 November 1987,Salary,Unknown,50-65,8460,282,0
01 January 2015,95728,M,49,Group F,FT,No,East,28 May 2003,Salary,Unknown,30-49,2775,92.5,0
01 January 2015,95730,F,27,Group D,FT,No,East,24 June 2008,Salary,Unknown,20-29,921,30.7,0
01 January 2015,95740,M,32,Group E,FT,No,East,13 August 2008,Salary,Unknown,30-49,871,29.03,0
01 January 2015,95744,F,48,Group B,FT,No,East,03 March 1987,Salary,Unknown,30-49,8705,290.17,0
01 January 2015,95752,F,29,Group D,FT,No,East,01 December 2006,Salary,Unknown,20-29,1492,49.73,0
01 January 2015,95754,M,55,Group G,FT,No,East,06 June 2006,Salary,Unknown,50-65,1670,55.67,0
01 January 2015,95762,F,34,Group D,FT,No,East,27 August 2008,Salary,Unknown,30-49,857,28.57,0
01 January 2015,95772,F,51,Group A,FT,No,East,15 May 1984,Salary,Unknown,50-65,9727,324.23,0
01 January 2015,95782,F,39,Group E,FT,No,East,17 September 2008,Salary,Unknown,30-49,836,27.87,0
01 January 2015,95784,M,40,Group F,FT,No,East,17 July 2007,Salary,Unknown,30-49,1264,42.13,0
01 January 2015,95788,F,49,Group G,FT,No,East,05 January 2010,Salary,Unknown,30-49,361,12.03,0
01 January 2015,96180,M,23,Group E,FT,No,East,29 January 2008,Hourly,Unknown,20-29,1068,35.6,0
01 January 2015,96382,F,22,Group A,FT,No,East,20 November 2007,Hourly,Unknown,20-29,1138,37.93,0
01 January 2015,96442,M,43,Group C,FT,No,East,20 September 2005,Hourly,Unknown,30-49,1929,64.3,0
01 January 2015,96764,F,33,Group E,FT,No,East,13 July 2001,Hourly,Unknown,30-49,3459,115.3,0
01 January 2015,97020,F,38,Group B,FT,No,East,21 June 2002,Hourly,Unknown,30-49,3116,103.87,0
01 January 2015,97038,F,23,Group E,FT,No,East,02 October 2007,Hourly,Unknown,20-29,1187,39.57,0
01 January 2015,97052,F,47,Group A,FT,No,East,14 May 2008,Hourly,Unknown,30-49,962,32.07,0
01 January 2015,97318,F,23,Group A,PT,No,East,13 May 2009,Hourly,Unknown,20-29,598,19.93,0
01 January 2015,97344,F,34,Group F,FT,No,East,27 February 2003,Hourly,Unknown,30-49,2865,95.5,0
01 January 2015,97546,F,57,Group E,FT,No,East,24 July 2003,Hourly,Unknown,50-65,2718,90.6,0
01 January 2015,98080,F,29,Group A,FT,No,East,09 October 2001,Hourly,Unknown,20-29,3371,112.37,0
01 January 2015,98432,F,29,Group E,FT,No,East,05 April 2005,Hourly,Unknown,20-29,2097,69.9,0
01 January 2015,99064,M,25,Group F,PT,No,North,13 April 2005,Hourly,Unknown,20-29,2089,69.63,0
01 January 2015,101802,M,31,Group C,PT,No,Central,30 August 2005,Hourly,Unknown,30-49,1950,65,0
01 January 2015,101996,M,21,Group F,FT,No,West,09 October 2006,Hourly,Unknown,20-29,1545,51.5,0
01 January 2015,102250,F,23,Group D,PT,No,North,05 June 2007,Hourly,Unknown,20-29,1306,43.53,0
01 January 2015,103356,M,63,Group G,PT,No,Northwest,22 April 2009,Hourly,Unknown,50-65,619,20.63,0
01 January 2015,103362,F,37,Group A,FT,No,East,30 June 2009,Salary,Unknown,30-49,550,18.33,0
01 January 2015,104426,F,25,Group G,FT,No,North,27 September 2006,Hourly,Unknown,20-29,1557,51.9,0
01 January 2015,104704,F,27,Group G,FT,No,Central,19 September 2007,Hourly,Unknown,20-29,1200,40,0
01 January 2015,106134,F,28,Group C,PT,No,East,11 December 2003,Hourly,Unknown,20-29,2578,85.93,0
01 January 2015,106318,M,26,Group E,PT,No,North,30 October 2007,Hourly,Unknown,20-29,1159,38.63,0
01 January 2015,107730,M,24,Group D,PT,No,Northwest,27 June 2007,Hourly,Unknown,20-29,1284,42.8,0
01 January 2015,108086,F,20,Group C,PT,No,North,22 September 2010,Hourly,Unknown,20-29,101,3.37,0
01 January 2015,108276,M,43,Group A,PT,No,Midwest,12 October 2009,Hourly,Unknown,30-49,446,14.87,0
01 January 2015,110266,F,25,Group G,FT,No,West,07 April 2004,Salary,Unknown,20-29,2460,82,0
01 January 2015,110834,M,22,Group B,PT,No,Midwest,27 March 2008,Hourly,Unknown,20-29,1010,33.67,0
01 January 2015,111526,F,40,Group A,PT,No,East,01 July 2009,Hourly,Unknown,30-49,549,18.3,0
01 January 2015,113294,M,39,Group A,FT,No,Central,08 December 2000,Hourly,Unknown,30-49,3676,122.53,0
01 January 2015,114258,M,44,Group B,FT,No,South,24 September 2008,Hourly,Unknown,30-49,829,27.63,0
01 January 2015,115526,F,21,Group E,PT,No,North,30 July 2008,Hourly,Unknown,20-29,885,29.5,0
01 January 2015,116032,F,24,Group F,FT,No,North,10 May 2006,Hourly,Unknown,20-29,1697,56.57,0
01 January 2015,119098,M,38,Group B,PT,No,Central,06 September 2007,Hourly,Unknown,30-49,1213,40.43,0
01 January 2015,119550,M,72,Group G,FT,No,Central,28 February 2007,Hourly,Unknown,50-65,1403,46.77,0
01 January 2015,120656,F,31,Group C,FT,No,East,16 June 2001,Hourly,Unknown,30-49,3486,116.2,0
01 January 2015,121050,M,20,Group G,PT,No,Northwest,15 July 2010,Hourly,Unknown,20-29,170,5.67,0
01 January 2015,123298,F,22,Group D,FT,No,Northwest,03 October 2006,Hourly,Unknown,20-29,1551,51.7,0
01 February 2015,1950,M,36,Group A,PT,No,North,27 August 2008,Hourly,Unknown,30-49,888,29.6,0
01 February 2015,5202,M,22,Group E,PT,No,North,12 August 2010,Hourly,Unknown,20-29,173,5.77,0
01 February 2015,16664,M,24,Group F,PT,No,North,25 September 2008,Hourly,Unknown,20-29,859,28.63,0
01 February 2015,17146,F,21,Group D,PT,No,West,16 November 2010,Hourly,Unknown,20-29,77,2.57,0
01 February 2015,18230,M,45,Group A,PT,No,North,24 October 2007,Hourly,Unknown,30-49,1196,39.87,0
01 February 2015,21208,M,27,Group A,FT,No,Northwest,13 July 2000,Hourly,Unknown,20-29,3855,128.5,0
01 February 2015,21544,F,24,Group B,PT,No,Northwest,02 September 2010,Hourly,Unknown,20-29,152,5.07,0
01 February 2015,26228,M,53,Group D,PT,No,North,17 September 2008,Hourly,Unknown,50-65,867,28.9,0
01 February 2015,26954,M,85,Group B,PT,No,West,27 August 2009,Hourly,Unknown,50-65,523,17.43,0
01 February 2015,29062,M,41,Group G,FT,No,Midwest,26 May 2009,Hourly,Unknown,30-49,616,20.53,0
01 February 2015,29632,M,26,Group F,PT,No,Central,01 April 2010,Hourly,Unknown,20-29,306,10.2,0
01 February 2015,30248,F,37,Group C,FT,No,Northwest,14 November 2006,Hourly,Unknown,30-49,1540,51.33,0
01 February 2015,33124,M,25,Group F,PT,No,North,14 August 2007,Hourly,Unknown,20-29,1267,42.23,0
01 February 2015,33240,F,28,Group E,FT,No,Midwest,26 June 2002,Salary,Unknown,20-29,3142,104.73,0
01 February 2015,33258,M,33,Group D,FT,No,West,04 April 2008,Salary,Unknown,30-49,1033,34.43,0
01 February 2015,33262,F,46,Group E,FT,No,Northwest,19 March 2008,Salary,Unknown,30-49,1049,34.97,0
01 February 2015,33288,F,44,Group G,FT,No,East,16 July 2008,Salary,Unknown,30-49,930,31,0
01 February 2015,33296,F,31,Group G,FT,No,East,27 August 2008,Salary,Unknown,30-49,888,29.6,0
01 February 2015,40406,M,46,Group B,FT,No,North,09 April 2005,Hourly,Unknown,30-49,2124,70.8,0
01 February 2015,40436,F,22,Group C,PT,No,North,21 June 2007,Hourly,Unknown,20-29,1321,44.03,0
01 February 2015,40472,F,54,Group E,FT,No,North,18 May 2005,Hourly,Unknown,50-65,2085,69.5,0
01 February 2015,40542,M,44,Group D,PT,No,North,21 June 2005,Hourly,Unknown,30-49,2051,68.37,0
01 February 2015,40548,F,28,Group E,FT,No,North,02 May 2007,Hourly,Unknown,20-29,1371,45.7,0
